Hospital Name,Link,Summary,Overall Experience,Timeliness,Cleanliness,Friendliness,Spaciousness,Average Rating,Quietness,Cleanliness2,Helpfulness,Communication
Health Alliance - Clinton Hospital,https://www.yelp.com/biz/health-alliance-hospital-leominster-2,"I am leaving this Yelp review to advise anyone needing medical treatment, if not a deathly emergency, you will do better at one of the Urgent Care places in the area.SPLITThey treat you with dignity and respect regardless of who you are.SPLITI respect nurses but cannot respect this one who would NOT perform her mandated explanation of the diagnosis.SPLITVery disappointed in the rude nures towards my fiancee and to top it off after we got home and she woke up after the Anastasia wore off we noticed that her iv was still in her arm that we had to take out very bad place not recommendedSPLITMy daughter is so sick, she said she just signed the discharge so she could go home cuz she's so sick.SPLITBe patient, people can be scared when they're in ER wirh pain or illness.SPLIT146",34.0,40.0,55.555555555555564,0.0,0.0,1.4666666666666666,89,92,90,93.0
Mount Auburn Hospital,https://www.yelp.com/biz/mount-auburn-hospital-cambridge-2,"five stars and it goes without saying, worth the drive out i will say that the check in process with registration this time around wasnt nearly as quick as we would have liked, but i suppose we could be partially to blame, as usually the case when you have one in tow, you never know what your going to get fortunately we called ahead and got the department letting them know we were late, they were ok with it when finally made it in, we got great counsel with the doctors, never felt rushed and left feeling pretty good 

their building updates are finally complete and it is nice with the upgrades and their new surroundings the gift shop really spared no expense with their variety of lobster scrubs and magazines what else can i say, guess we will see you again in april 


you notice what was absent in the above yelp?SPLITI delivered a baby here in late May and I LOVED the midwives, I LOVED every single one of my nurses (I'm even Facebook friends with one of them now), all of the meals were delicious--basically every aspect of my delivery and hospital stay was really wonderful.SPLIT( Yes i am feeling that great today that i needed to share this review) You can tell he is very passionate and caring about his work .SPLITOnce admitted, things run smoothly, but before (obviously the er) that is terrible, and I would know because I have a severe condition with my pancreas so i have been to many hospitals, but this emergency room was BY FAR the worst.SPLITThey give my father in law a fucking hard wooden rocking chair .....a fucking wooden rocking if I could give negative stars I would...and don't eat the free food they give I taste like fucking ass we will not be coming back nor do I recommend this hospital to anyone......damn shameSPLIT30 minutes later after birth Doctor walked in with Dispotion of fetal remains form and  was trying to force my wife to sign it ...
We said no till the Autopsys results comes back 
 ON AUGUST 28 AT 8:34 AM PATIENT RELATION DIRECTOR USELESS MARGARET MARTELLO ...CALLED FROM THIS HOSPITAL 617 5763366 AND BLAMED US FOR BABYS DEATH 
Take care of your baby's 
And be careful with Mount Auburn hospital

WE REQUESTED MY WIFE'S RECORDS.AND WE FOUND OUT REPORTS ARE MISSING ...SPLIT1357",32.53388946819604,25.806451612903228,28.57142857142857,80.0,0.0,2.394957983193277,90,90,91,91.0
Sturdy Memorial Hospital,https://www.yelp.com/biz/sturdy-memorial-hospital-attleboro,"I was hesitant to go here but had a Wonderful experience and AMAZING care from my Nurse Bethany!SPLITI went there for the first time last night and everyone was so friendly, helpful, kind and understanding!!!SPLITI've had great experiences with the staff friendly, covering all their bases, bringing warm blankets, making sure I'm okay with the diagnosis, etc.SPLITThis hospital is the worst hospital in the world the staff is so rude and not helpful in the least bit I brought my daughter to sturdy because she had a high fever and wasn't able to keep food down at all and was so tired not like her normal self we got called back into the e r and they didn't put her in a room for over an hour then the nurse took her in didn't even ask why we were here or if she was okay tried to force ibuprofen down her throat my daughter threw up on her and then she looked at me and said you are a terrible mother no three year old acts like this her behavior is completely unacceptable and also told me I wasn't doing enough for my daughter excuse me I brought her to the er as soon as she got that fever the nurse was an absolute inconsiderate jerk her bedside manner was disgusting this hospital is not for children at all I was so horrified by the way she was speaking to me I got into an argument with her because her behavior was disgusting I cannot believe she talked to my daughter the way she did and the way she spoke to me absolute ignorance!SPLITWent in complaining of lethargy, pain, and while I was sleeping I aspirated and almost died if not for my wife turning me on my side.SPLITHe screamed at me with humiliation and I was so frightened.SPLIT378",35.039370078740156,11.538461538461537,23.529411764705877,100.0,0.0,2.8205128205128207,86,94,91,91.66666666666667
Lawrence General Hospital,https://www.yelp.com/biz/lawrence-general-hospital-lawrence,"SO PLEASE  if you want to be taken care of with respect, fast and care this isn't the place to go to.SPLITNurses constantly did things to make us comfortable such as feeding us, talking to us and giving us unbridled love and caring.SPLITThank you for wonderful compassionate care.SPLITI've had multiple horrible experiences here with rude staff, lack of knowledge, no communication between anyone, rude, ignore you, and lack of professionalism.SPLITI came in with excruciating pain in my lower stomach and back, crying and throwing up.SPLITAll this hell and being ignored and treated horribly and it just ended up being Mono!SPLIT368",41.75824175824176,23.529411764705877,11.764705882352938,66.66666666666666,0.0,2.404255319148936,78,90,83,88.66666666666667
Cambridge Health Alliance,https://www.yelp.com/biz/cambridge-health-alliance-cambridge-3,"I then told her what Diane told me... ""oh she probably just figured she had to tell you something and that would get you off the phone the quickest"" was her reply... Wow...

Luckily I got scheduled for a few days later, though they made sure to make me feel like they were doing me a huge favor because ""everyone else that was scheduled for that day got bumped to the end of the month""... thank you so much I'm eternally grateful?SPLITDr. Sawady (my PCP) and Dr. Rhamberg (often sees me when Dr. Sawady is not available) are both super knowledgeable, attentive, caring, yet not even slightly arrogant or demeaning.SPLITThe doctor I had was superb and I left several sessions with him in joyful tears from the feeling of finally feeling listened to.SPLITAt the end of the matter, one attacker had been fired for excessive force, but several other violent individuals remained employed by Cambridge hospital as part of a ""MOAB"" assault team.SPLITNot saying this will happen to everyone but it really left me struggling for years not knowing what was wrong with me, not being listened to, leaving me to try to heal myself and find out what's wrong using more natural holistic methods which started to work but they discouraged.SPLITIn furthering their violent racism, the men who assaulted myself and my wife got up in court and gave false testimony.SPLIT383",30.952380952380953,18.75,36.36363636363637,100.0,0.0,1.6304347826086956,85,92,88,90.0
Cooley Dickinson Hospital,https://www.yelp.com/biz/cooley-dickinson-health-care-northampton-3,"Granted the ER can be busy and the wait can be long but I've been fortunate when bringing family to have dealt with mostly friendly staff.SPLITThe dressing was done by a nurse, also very pleasant and efficient.SPLITThey're so compassionate and are always smiling.SPLITThe triage nurse offered me serious pain drugs even though I told her I was not in pain.SPLITI know it is a small hospital, but in emergency situations, there is really no where else to go.SPLITSoon to open a Cancer Center, bringing MGH cancer care to the pioneer valleySPLIT169",29.36507936507937,33.33333333333333,16.666666666666664,0.0,0.0,2.28,86,91,87,90.66666666666667
Carney Hospital,https://www.yelp.com/biz/carney-hospital-dorchester-center,"I've tried to stay away from this hospital as much as I could for so long, but my dad has been coming here because he has good doctor that leasing a private office here, and also of the location, for me, I'd rather go some where far to receive both good care and good customer service.SPLITOvernight stay was comfortable and pleasant, room was clean and food actually not bad!SPLITNo wonder their hospital is going down, its pretty much empty in there, seems like no one likes going there anymore, as all of my friends and relatives has transfered all their cares to better hospitals.SPLITMy poor baby was in so much pain and they didn't even give him a blanket or anything to soothe his stomach pain I eventually just left I was so upset.SPLITWTF, worst attitude I have seen in all medical center/ hospital.SPLITI am no allowed to leave my bed to go the bathroom what the fuck is wrong with these people.SPLIT311",38.35616438356164,40.0,11.111111111111109,66.66666666666666,0.0,2.3076923076923075,89,91,88,89.33333333333333
Harrington Memorial Hospital-1,https://www.yelp.com/biz/harrington-healthcare-system-southbridge,"Truly excellent level of service and amazing quality of care.SPLITSuper kind woman and very gentle.SPLITI don't work there but feel like I do because I have to go behind the staff to make sure they do their job so I can get medical help.SPLITI had never had surgery before or even been in a hospital for myself and was very scared and in a lot of pain.SPLITThe Dr was very rude and basically mocked me for the reason I was there, referenced me to a specialist.SPLITLiterally the single worst medical institution I have ever set foot in.SPLIT110",46.98795180722892,0.0,0.0,0.0,0.0,3.0,87,92,91,90.33333333333333
Holyoke Medical Center,https://www.yelp.com/biz/holyoke-medical-center-holyoke,"Excellent care for chronic (hematology), routine (mammogram, colonoscopy), and urgent (cancer detection, surgery, radiation & follow up,  also  ER) care for me & my family.SPLITI recently had a colonoscopy at HMC and received the very best of care from every individual I encountered.SPLITStaff here are very helpful, very efficient!SPLITWorse hospital ever came in yesterday for leg pain and I'm still in my house suffering from the same pain no help at all this hospital should be shut down the doctors are no good at all, last time I brought my son in with a throat infection and the doctor said it was anxiety this doctors should go back to school because there no goodSPLITMy 53 year old brother died unexpectedly in December due to a fall and we are having the hardest time getting the Head of the Emergency Room to respond to our many request to change the Death Certificate.SPLITMy chest HURTS SO BAD.SPLIT118",35.555555555555564,62.5,66.66666666666666,0.0,0.0,3.066666666666667,87,93,93,90.66666666666667
Anna Jaques Hospital,https://www.yelp.com/biz/anna-jaques-hospital-newburyport,"The nurses and drs were always helpful and caring (we think Katy the nurse who was with us through the birth and during the days after is amazing in her caregiving), and the facilities and food made everything even better.SPLITIn contrast, though a distance from Newburyport, Emerson Hospital, in Concord, MA was wonderful, caring, and respectful of patients' rights.SPLITI'm very thankful I was so well taken care of at AJH that night by the doctor at least.SPLITI was disoriented, weak, in pain, and frankly - scared.SPLITI'm highly allergic to all forms of psych meds, which the security guards had threatened me with because I was crying and yelling out of fear over being drugged against my will.SPLITIt was threatening, harassing, and I did not feel safe there at all.SPLIT277",27.72727272727273,20.0,0.0,0.0,0.0,2.806451612903226,88,92,93,91.66666666666667
