Hospital Name,Link,State,Address,"""Always"" quiet at night","""Usually"" quiet at night","Room was ""always"" clean","Room was ""usually"" clean","Patients ""always"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted","Doctors ""always"" communicated well","Doctors ""usually"" communicated well","Nurses ""always"" communicated well","Nurses ""usually"" communicated well","Staff ""always"" explained","Staff ""usually"" explained",Summary,Review Counts,Experience,Billing,Quality of Care,Other,Timeliness,Average Rating
Health Alliance - Clinton Hospital,https://www.yelp.com/biz/health-alliance-hospital-leominster-2,MA,60 Hospital Road,52,37,75,17,61,29,81,16,81,15,67,19,,1,0,0,0,0,0,1.4666666666666666
Mount Auburn Hospital,https://www.yelp.com/biz/mount-auburn-hospital-cambridge-2,MA,330 Mount Auburn Street,58,32,68,22,67,24,82,14,80,16,63,18,"Auburn Hospital.....you would get better care going to your child's Doc McStuffins medical mobile care van.SPLITI'm sure if it was their friend, they would've wanted a nicer response.SPLITThere were a lot of people waiting for help and when i finally got a room, she was at the nurses station shooting the breeze and laughing instead of being out front helping.SPLITOnce admitted, things run smoothly, but before (obviously the er) that is terrible, and I would know because I have a severe condition with my pancreas so i have been to many hospitals, but this emergency room was BY FAR the worst.SPLITThey give my father in law a fucking hard wooden rocking chair .....a fucking wooden rocking if I could give negative stars I would...and don't eat the free food they give I taste like fucking ass we will not be coming back nor do I recommend this hospital to anyone......damn shameSPLITMy daughter is so sick, she said she just signed the discharge so she could go home cuz she's so sick.SPLIT555",56,0,0,0,0,24.102564102564102,2.394957983193277
Sturdy Memorial Hospital,https://www.yelp.com/biz/sturdy-memorial-hospital-attleboro,MA,211 Park Street,50,36,78,16,65,26,82,15,83,14,63,18,"Don't get me wrong, the doctor was nice enough.SPLITDon't you just hate it when people tell you what to do, particularly when it comes to birthing babies?SPLITSPLITAll in all I'm incredibly disappointed with this emergency room.SPLITIf I were hit by a bus on the sidewalk inches from the front door of this place, I'd rather bleed to death than receive treatment here.SPLITYou get incompetent people, the only thing going for this hospital is outpatient specialists.. if you don't mind waiting 2 months to been evaluated.SPLIT97",11,0,0,0,0,16.666666666666664,2.8205128205128207
Lawrence General Hospital,https://www.yelp.com/biz/lawrence-general-hospital-lawrence,MA,One General Street,47,31,69,21,54,29,80,15,78,16,58,19,"Luckily then he administered the proper treatment.SPLITSPLITSPLITThe receptionist was very ugly and told her that crying would get her no where.SPLITDuring my last visit, I ran across at least two departments where HIPPA violations were shocking.SPLITI worked in ERs myself for 30 years, so know how the patient flow goes, and staff can be overworked, but this place is really poor.SPLIT87",7,0,0,0,0,28.000000000000004,2.4042553191489358
Cambridge Health Alliance,https://www.yelp.com/biz/cambridge-health-alliance-cambridge-3,MA,1493 Cambridge Street,53,32,71,21,61,27,82,13,78,17,64,16,"They respect your dignity and treat you like the glorious human being you are, not just some random patient with a health problem.SPLITIf you do not like your  jobs, then leave the position and give the opportunity to more compassionate, articulate people who understand that family will call you, not to bug or annoy you, but to find out information on their loved ones.SPLITThe gals at the front desk are proud volunteers and will kindly steer you in the right direction on your first day.SPLITMy husband who died on July 4, and I have both had difficult experiences at the Emergency Room there since the beginning of the year--three time all told.SPLITI suffer from PTSD from the abuse to this day.SPLITI'm not quick to run over to the ER for every little thing, and sheepishly went inside, terribly embarrassed for having cut myself so badly...SPLIT369",31,0,0,0,0,29.850746268656714,1.6304347826086956
Cooley Dickinson Hospital,https://www.yelp.com/biz/cooley-dickinson-health-care-northampton-3,MA,30 Locust Street,49,37,72,19,61,26,75,20,75,21,63,18,"So in closing, their ER has shorter wait times than other area hospitals, but the care doesn't seem to be anywhere near as good.SPLITEither that or you like gambling so much that when you can't make it down to Foxfoods to play with chips, you go here to play with your life.SPLITTheir beds have great controls right on them to adjust the headrest and leg height, as well as the total room lighting and TV.SPLITI might be a bit paranoid but I really, really don't trust this place.SPLITI know care can really vary, depending on who you happen to get when you walk into the ER... but this place has almost killed two family members.SPLITWTF?SPLIT50",4,0,0,0,0,57.14285714285714,2.28
Carney Hospital,https://www.yelp.com/biz/carney-hospital-dorchester-center,MA,2100 Dorchester Avenue,57,32,71,20,64,24,78,15,77,17,61,20,,1,0,0,0,0,0.0,2.3076923076923075
Harrington Memorial Hospital-1,https://www.yelp.com/biz/harrington-healthcare-system-southbridge,MA,100 South Street,60,27,76,16,69,22,80,14,80,16,63,18,"I have never utilized their ER services - and while I hope to keep it that way, I also hope the ER staff resembles the Radiology group rather than the rest of the staff.SPLITThey were constantly communicating with me and engaged in actual conversation, treated me like I was a fellow human!SPLITI'm sure the physical wasn't really needed but ok.  At the time I was under not ONE, but TWO insurances.SPLITNow I understand parking is tight in Cambridge in general, but the medical industry already nickels and dimes people to death - it feels like adding insult to injury (literally!)SPLITWORST billing experience I've ever faced and I can't wait to get this stupid situation out of my life!!!SPLITI really hate to be negative, but this could've been avoided.SPLIT50",2,0,0,0,0,36.0,3.0
Saint Anne's Hospital,https://www.yelp.com/biz/saint-annes-hospital-fall-river-2,MA,795 Middle Street,65,26,84,12,72,20,79,16,85,12,65,19,,4,0,0,0,0,33.33333333333333,3.5
Holyoke Medical Center,https://www.yelp.com/biz/holyoke-medical-center-holyoke,MA,575 Beech Street,55,32,75,18,66,27,77,17,80,16,61,21,"Five stars for awesome place and the niceness of (most of the) staff - I recognize the importance of this - and minus one for ""WTF, PEOPLE.""SPLITAfter we wrapped up she said: 

""Thank you for your patience, "" blahblahblah, ""I'll need to check that the images look ok.SPLITIt was neat.SPLITMy wife gave birth here, one of my complaints is the parking, we were here 6 nights and  I only live 10 minutes away and had to walk my dog so everyday when I left I had to pay 7$!SPLITSecond, the Anesthetist must have done real damage on my spine.SPLITWhen he was leaving, he made fun of people who would be so stupid to have babies!SPLIT111",8,0,0,0,0,33.33333333333333,3.066666666666667
