Hospital Name,Review Counts,Text
Health Alliance - Clinton Hospital,15,15
Mount Auburn Hospital,119,119
Sturdy Memorial Hospital,39,39
Lawrence General Hospital,47,47
Cambridge Health Alliance,46,46
Cooley Dickinson Hospital,25,25
Carney Hospital,39,39
Harrington Memorial Hospital-1,11,11
Saint Anne's Hospital,4,4
Holyoke Medical Center,15,15
Anna Jaques Hospital,31,31
Baystate Wing Hospital And Medical Centers,8,8
Boston Medical Center Corporation-,111,111
Beverly Hospital Corporation,45,45
North Shore Medical Center -,45,45
St Elizabeth's Medical Center,127,127
Berkshire Medical Center - 1,20,20
Marlborough Hospital,30,30
Signature Healthcare Brockton Hospital,21,21
Beth Israel Deaconess Hospital - Plymouth,43,43
Lowell General Hospital,67,67
Baystate Noble Hospital,4,4
Mercy Medical Ctr,11,11
Melrosewakefield Healthcare,73,73
Massachusetts General Hospital,215,215
Morton Hospital,28,28
Southcoast Hospital Group,1,1
Massachusetts Eye And Ear Infirmary -,72,72
Baystate Medical Center,2,2
Holy Family Hospital,54,54
Beth Israel Deaconess Hospital - Needham,27,27
Emerson Hospital -,65,65
Beth Israel Deaconess Medical Center,168,168
New England Baptist Hospital,38,38
Milford Regional Medical Center,44,44
Heywood Hospital -,9,9
Nashoba Valley Medical Center,9,9
South Shore Hospital,112,112
Newton-Wellesley Hospital,128,128
Winchester Hospital,76,76
Beth Israel Deaconess Hospital-Milton,33,33
Va Boston Healthcare System - Jamaica Plain,2,2
Brigham And Women's Hospital,176,176
Good Samaritan Medical Center,37,37
Tufts Medical Center,153,153
Brigham And Women's Faulkner Hospital,50,50
Norwood Hospital,64,64
Falmouth Hospital,28,28
Umass Memorial Medical Center,42,42
"Lahey Hospital & Medical Center, Burlington",176,176
Metrowest Medical Center,29,29
St Vincent Hospital,31,31
Albany Memorial Hospital,11,11
Healthalliance Hospital Broadway Campus,5,5
Kaleida Health,1,1
St Joseph's Medical Center,11,11
Bronx-Lebanon Hospital Center,2,2
Our Lady Of Lourdes Memorial Hospital,8,8
Albany Medical Center Hospital,56,56
Jamaica Hospital Medical Center,87,87
New York Community Hospital Of Brooklyn.,34,34
Vassar Brothers Medical Center,71,71
Nassau University Medical Center,77,77
Richmond University Medical Center,64,64
Newark-Wayne Community Hospital,4,4
Chenango Memorial Hospital,1,1
Southside Hospital,60,60
Huntington Hospital,48,48
Mount Sinai West,220,220
St Mary's Hospital At Amsterdam,2,2
Northern Dutchess Hospital,22,22
New York-Presbyterian/Queens,162,162
Brooklyn Hospital Center At Downtown Campus,153,153
St Peter's Hospital,50,50
Geneva General Hospital,1,1
Montefiore Medical Center,10,10
Niagara Falls Memorial Medical Center,6,6
United Memorial Medical Center,5,5
F F Thompson Hospital,5,5
Sisters Of Charity Hospital,23,23
Adirondack Medical Center,1,1
Lincoln Medical & Mental Health Center,38,38
Arnot Ogden Medical Center,4,4
Columbia Memorial Hospital,16,16
Albany Va Medical Center,7,7
New York-Presbyterian Hospital,257,257
Kenmore Mercy Hospital,18,18
Olean General Hospital,3,3
Nyack Hospital,46,46
North Shore University Hospital,150,150
Peconic Bay Medical Center,28,28
Bertrand Chaffee Hospital,1,1
Oneida Health Hospital,1,1
Lenox Hill Hospital,213,213
Rochester General Hospital,10,10
Orange Regional Medical Center,56,56
Jacobi Medical Center,5,5
Elmhurst Hospital Center,223,223
Bon Secours Community Hospital,9,9
Mary Imogene Bassett Hospital,9,9
St Joseph's Hospital Health Center,23,23
Long Island Community Hospital,30,30
Ellis Hospital,41,40
Samaritan Medical Center,8,8
Good Samaritan Hospital Of Suffern,35,34
Staten Island University Hospital,1,1
Northern Westchester Hospital,30,30
Eastern Niagara Hospital,1,1
Highland Hospital,12,12
Nyu Winthrop Hospital,100,100
Mount Sinai Beth Israel,178,178
Cortland Regional Medical Center,4,4
Va New York Harbor Healthcare System - Ny Div.,23,23
Samaritan Hospital,9,9
Glen Cove Hospital,17,17
"St Francis Hospital, Roslyn",63,63
Montefiore New Rochelle Hospital,18,18
John T Mather Memorial Hospital  Of Port Jefferson,31,31
Mount St Mary's Hospital And  Health Center,14,14
Glens Falls Hospital,23,23
Flushing Hospital Medical Center,87,87
Maimonides Medical Center,167,167
Long Island Jewish Medical Center,124,123
Coney Island Hospital,83,83
Canton-Potsdam Hospital,6,6
South Nassau Communities Hospital,76,72
Metropolitan Hospital Center,40,40
Northport Va Medical Center,8,8
Kingsbrook Jewish Medical Center,32,32
Kings County Hospital Center,85,85
Crouse Hospital,3,3
Bellevue Hospital Center,145,144
St John's Riverside Hospital,11,11
Claxton-Hepburn Medical Center,3,3
Nyu Langone Hospitals,275,275
Oswego Hospital,3,3
Erie County Medical Center,9,9
Wyckoff Heights Medical Center,135,135
Saratoga Hospital,24,24
Massena Memorial Hospital,1,1
Unity Hospital Of Rochester,5,5
Brooks Memorial Hospital,3,3
Queens Hospital Center,45,45
Brookdale Hospital Medical Center,56,56
Westchester Medical Center,75,75
Auburn  Community  Hospital,1,1
New York-Presbyterian Brooklyn Methodist Hospital,310,310
Nicholas H Noyes Memorial Hospital,1,1
Upmc Chautauqua Wca,7,7
Harlem Hospital Center,45,45
University Hospital S U N Y Health Science Center,7,7
St Elizabeth Medical Center,2,2
St Charles Hospital,38,38
Syracuse Va Medical Center,4,4
Champlain Valley Physicians Hospital Medical Ctr,2,2
Mercy Medical Center,66,66
Phelps Memorial Hospital Assn,35,35
St Luke's Cornwall Hospital,29,29
Clifton Springs Hospital And Clinic,2,2
New York-Presbyterian/Hudson Valley Hospital,20,20
Hospital For Special Surgery,184,184
Putnam Hospital Center,41,41
Nathan Littauer Hospital,6,6
Mercy Hospital Of Buffalo,28,28
Strong Memorial Hospital,48,48
Good Samaritan Hospital Medical Center,81,81
White Plains Hospital Center,51,51
Cayuga Medical Center At Ithaca,12,12
Plainview Hospital,40,40
St Joseph Hospital,57,57
North Central Bronx Hospital,10,10
Catskill Regional Medical Center,13,13
University Hospital At Stony Brook,113,113
United Health Services Hospitals,3,3
St John's Episcopal Hospital At South Shore,32,32
Woodhull Medical And Mental Health Center,45,44
Interfaith Medical Center,37,37
St Barnabas Hospital,27,27
St Catherine Of Siena Hospital,19,19
Hamilton Community Memorial Hospital,6,6
