Sentence,Sentiment,Topic,Topic Score
"Once admitted, things run smoothly, but before (obviously the er) that is terrible, and I would know because I have a severe condition with my pancreas so i have been to many hospitals, but this emergency room was BY FAR the worst.",-0.9584,4,0.7025713324546814
They give my father in law a fucking hard wooden rocking chair .....a fucking wooden rocking if I could give negative stars I would...and don't eat the free food they give I taste like fucking ass we will not be coming back nor do I recommend this hospital to anyone......damn shame,-0.9273,4,0.8018336892127991
"My daughter is so sick, she said she just signed the discharge so she could go home cuz she's so sick.",-0.8585,4,0.6869446039199829
Long story short skip the cafeteria unless you want to witness hard working employees get belittled disrespected and verbal abused,-0.8555,4,0.6525063514709473
Rude rude rude to patients and other staff.,-0.8402,4,0.7038691639900208
I recently had to visit the ER due to terrible tooth pain and had no other option since it was July 4th and my dentist was not available.,-0.8225,4,0.6515488028526306
The biggest thing is how rude the woman was on the phone it really pissed me off.,-0.8173,4,0.6758614182472229
All I can tell you it's a hospital that should be shut down none of those doctors and nurses care horrible horrible horrible.,-0.8074,4,0.6534934043884277
This place is horrible and on top of that they have marijuana pamphlets in the ER telling the public that marijuana is no good for you and the harm it can bring people???!!!..omg!,-0.8024,4,0.741984486579895
"Avoid the place, it is not professionally run, poor discharge instructions nearly killed a family member
ER let brother in law sit in waiting for over an hour leg was broken in 3 places, we actually took him to another hospital, they refused us help loading him into our SUV 
Drive to Boston if you can",-0.7748,4,0.7915753126144409
I'm beyond pissed this place is ridiculous.,-0.7717,4,0.6556459665298462
"The front desk woman J is loud, rude, very unprofessional.",-0.7645,4,0.7572987079620361
It's illegal and I've complained multiple times.,-0.743,4,0.6872021555900574
"At least they are competent & their nurses do their job & explain the diagnosis-not be an overworked snot & move that one out & move on to the next ""whining sick person "" that's the attitude of a lot of nurses, they think they can determine your pain.",-0.7351,4,0.6788243055343628
!..don't let all the cancer patients see that...woops!..,-0.717,4,0.6543501019477844
This place should get -100 stars for being the worst hospital on the eastern seaboard!!!..,-0.7163,4,0.7189294695854187
"When I went out to go follow up, pig tail nurse said they did not have time for my questions because there is a very sick patient people were attending to (granted, there were no more than 5 patients in the whole ER).",-0.6997,4,0.7072028517723083
An awful place for emergency services.,-0.6808,4,0.7036693096160889
The room I was placed in (I was in two different rooms because I had to go back twice that night since the treatment they provided the first time made the pain worse) was FILTHY!!!!,-0.6671,4,0.7004354596138
I warned them a head of time that I was anxious and wasn't feeling well.,-0.6467,4,0.736667811870575
The emergency room is the most crowded emergency room I have ever seen.,-0.6369,4,0.7416284084320068
"I am a patient for over 15 years, never see or experience such as this bad customer service.",-0.628,4,0.6614069938659668
This hospital is probably the worst hospital I have ever been too.,-0.6249,4,0.652915894985199
Worst fucking hospital as I'm writing this review sitting in the labor room with my girl.,-0.6249,4,0.7030593752861023
The worst hospital I have ever encountered.,-0.6249,4,0.6802489757537842
This is one of the worst hospitals we have ever been to.,-0.6249,4,0.652915894985199
"Not only did they not give me the time of day to have conversation, but they were rude, told me she had been transferred and hung up.",-0.6124,4,0.7255998849868774
It's racist.,-0.6124,4,0.6529241800308228
"I have also previously been admitted to this hospital, and the ER absolutely was the worst ER I have ever been to.",-0.6077,4,0.6803833246231079
Horrible!,-0.5848,4,0.6529296040534973
Administration should review this awful practice and work with their supervisors on sensitivity training.,-0.5423,4,0.6901238560676575
Shame on the hospital!,-0.5255,4,0.6529275178909302
"Yes, I had had a heart attack and they let me sit there for two hours in the waiting room, not appearing to care at all!",-0.5139,4,0.6715954542160034
Of course I am his mother you dumb expletives deleted.,-0.5106,4,0.703862726688385
